STATISTIK BILANGAN MURID MENGIKUT JANTINA DAN KAUM,,,,,,,,,,,,
,,,,,,,,,,,,
BIL,PPD,Kod Sekolah,Nama Sekolah,Melayu Bumiputera,,Cina,,India,,Lain-Lain,,JUMLAH
,,,,L,P,L,P,L,P,L,P,
20,PPD BENTONG,CBB0015,SEKOLAH KEBANGSAAN SULAIMAN,370,335,5,5,13,25,8,9,770
21,PPD BENTONG,CBB0054,SEKOLAH KEBANGSAAN SG MARONG,143,109,3,1,23,13,3,3,298
22,PPD BENTONG,CBC0023,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN PAGI,16,8,186,179,3,1,1,,394
23,PPD BENTONG,CBC0024,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN REPAS,8,6,42,32,5,5,1,,99
24,PPD BENTONG,CBC0025,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN CHAMANG,1,4,82,58,4,2,1,,152
25,PPD BENTONG,CBC0027,SEKOLAH JENIS KEBANGSAAN (CINA) KETARI,23,15,134,140,4,7,3,,326
26,PPD BENTONG,CBC0028,SEKOLAH JENIS KEBANGSAAN (CINA) PERTING,,1,139,151,1,,,,292
27,PPD BENTONG,CBC0029,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI DUA,2,6,14,24,1,,,,47
28,PPD BENTONG,CBC0030,SEKOLAH JENIS KEBANGSAAN (CINA) KARAK,12,18,125,144,7,9,1,3,319
29,PPD BENTONG,CBC0033,SEKOLAH JENIS KEBANGSAAN (CINA) TELEMONG,14,14,38,45,2,3,,1,117
30,PPD BENTONG,CBC0034,SEKOLAH JENIS KEBANGSAAN (CINA) MANCHIS,1,3,16,11,2,4,,,37
31,PPD BENTONG,CBC0035,SEKOLAH JENIS KEBANGSAAN (CINA) BUKIT TINGGI,13,7,74,42,2,1,1,1,141
32,PPD BENTONG,CBC0036,SEKOLAH JENIS KEBANGSAAN (CINA) LURAH BILUT,16,14,29,27,,,,,86
33,PPD BENTONG,CBD0038,SEKOLAH JENIS KEBANGSAAN (TAMIL) BENTONG,,,,,83,70,,,153
34,PPD BENTONG,CBD0039,SEKOLAH JENIS KEBANGSAAN (TAMIL) SRI TELEMONG,1,,,1,17,10,,1,30
35,PPD BENTONG,CBD0040,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG RENJOK,,,,,26,22,,,48
36,PPD BENTONG,CBD0041,SEKOLAH JENIS KEBANGSAAN (TAMIL) KARAK,,,,,124,107,,,231
37,PPD BENTONG,CBD0042,SEKOLAH JENIS KEBANGSAAN (TAMIL) LURAH BILUT,,,,,17,19,,,36
38,PPD BENTONG,CBK0026,SEKOLAH JENIS KEBANGSAAN (CINA) SG PENJURING,4,5,26,14,4,,,,53
39,PPD BENTONG,CEA0014,SEKOLAH MENENGAH KEBANGSAAN BENTONG,241,224,1,1,6,10,5,1,489
40,PPD BENTONG,CEA0015,SEKOLAH MENENGAH KEBANGSAAN (LKTP) KG SERTIK,233,188,2,,2,2,,,427
41,PPD BENTONG,CEA0053,SEKOLAH MENENGAH KEBANGSAAN (FELDA) LURAH BILUT,112,115,9,6,3,5,5,3,258
